ICAO,Name,State/Territory,Country,Timezone,Latitude,Longitude
UACC,Nursultan Nazarbayev International Airport,,Kazakhstan,Asia/Qyzylorda,51.02220153808594,71.46690368652344
KAST,Astoria Regional Airport,Oregon,United States,America/Los_Angeles,46.15800095,-123.8789978
SGAS,Silvio Pettirossi International Airport,,Paraguay,America/Asuncion,-25.23999977,-57.52000046
LGAV,Athens Eleftherios Venizelos International Airport,,Greece,Europe/Athens,37.93640137,23.94449997
KATL,Hartsfield Jackson Atlanta International Airport,Georgia,United States,America/New_York,33.63669967651367,-84.42810059
KACY,Atlantic City International Airport,New Jersey,United States,America/New_York,39.45759963989258,-74.57720184
KLEW,Auburn Lewiston Municipal Airport,Maine,United States,America/New_York,44.04850006,-70.28350067
NZAA,Auckland International Airport,,New Zealand,Pacific/Auckland,-37.0080986,174.7920074
KAGS,Augusta Regional At Bush Field,Georgia,United States,America/New_York,33.36989974975586,-81.96450043
KAUG,Augusta State Airport,Maine,United States,America/New_York,44.3205986,-69.79730225
KAUS,Austin Bergstrom International Airport,Texas,United States,America/Chicago,30.194499969482425,-97.66989899
KAVX,Catalina Airport,California,United States,America/Los_Angeles,33.4049,-118.416
YAYE,Ayers Rock Connellan Airport,Northern Territory,Australia,Australia/Darwin,-25.1861,130.975998
ORBI,Baghdad International Airport / New Al Muthana Air Base,,Iraq,Asia/Baghdad,33.262500762900004,44.23460007
SAZB,Comandante Espora Airport,,Argentina,America/Buenos_Aires,-38.725,-62.1693
OBBI,Bahrain International Airport,,Bahrain,Asia/Bahrain,26.27079963684082,50.63359832763672
LRBM,Maramures International Airport,,Romania,Europe/Bucharest,47.65840148925781,23.46999931335449
ZYBS,Changbaishan Airport,,China,Asia/Shanghai,42.066944,127.602222
KBKE,Baker City Municipal Airport,Oregon,United States,America/Los_Angeles,44.83729935,-117.8089981
KBFL,Meadows Field,California,United States,America/Los_Angeles,35.43360138,-119.0569992
WADD,Denpasar I Gusti Ngurah Rai International Airport,,Indonesia,Asia/Makassar,-8.748169899,115.1669998
WALL,Sultan Aji Muhammad Sulaiman Sepinggan International Airport,,Indonesia,Asia/Makassar,-1.268270016,116.8939972
YBNA,Ballina Byron Gateway Airport,New South Wales,Australia,Australia/Sydney,-28.83390045,153.5619965
KBWI,Baltimore/Washington International Thurgood Marshall Airport,Maryland,United States,America/New_York,39.17539978,-76.66829681
WITT,Sultan Iskandar Muda International Airport,,Indonesia,Asia/Jakarta,5.522872024010001,95.42063713070002
WICC,Husein Sastranegara International Airport,,Indonesia,Asia/Jakarta,-6.900629997,107.57599639892578
VOBL,Kempegowda International Airport Bengaluru,,India,Asia/Calcutta,13.1979,77.706299
VTBD,Don Mueang International Airport,,Thailand,Asia/Bangkok,13.91259956,100.6070023
VTBS,Suvarnabhumi Airport,,Thailand,Asia/Bangkok,13.681099891662598,100.74700164794922
KBGR,Bangor International Airport,Maine,United States,America/New_York,44.80739974975586,-68.82810211
WAOO,Syamsudin Noor International Airport,,Indonesia,Asia/Makassar,-3.442359924,114.76300048828124
ZPBS,Baoshan Yunrui Airport,,China,Asia/Shanghai,25.053301,99.168297
ZBOW,Baotou Donghe International Airport,,China,Asia/Shanghai,40.560001373291016,109.99700164794922
LEBL,Josep Tarradellas Barcelona-El Prat Airport,,Spain,Europe/Madrid,41.29710007,2.078459978
KBHB,Hancock County-Bar Harbor Airport,Maine,United States,America/New_York,44.45000076,-68.3615036
LIBD,Bari Karol Wojtya International Airport,,Italy,Europe/Rome,41.138901,16.760599
SKBQ,Ernesto Cortissoz International Airport,,Colombia,America/Bogota,10.8896,-74.7808
PABR,Wiley Post Will Rogers Memorial Airport,Alaska,United States,America/Anchorage,71.285402,-156.766008
LFSB,EuroAirport BaselMulhouseFreiburg,,France,Europe/Paris,47.59,7.5291667
ORMM,Basra International Airport,,Iraq,Asia/Baghdad,30.54910087585449,47.66210174560547
TKPK,Robert L. Bradshaw International Airport,,Saint Kitts And Nevis,America/St_Kitts,17.311199188232422,-62.71870041
LFKB,Bastia-Poretta International airport,,France,Europe/Paris,42.55270004272461,9.483730316
WIDD,Hang Nadim International Airport,,Indonesia,Asia/Jakarta,1.121029973,104.1190033
KBTR,Baton Rouge Metropolitan Airport,Louisiana,United States,America/Chicago,30.53319931,-91.14959717
KBPT,Jack Brooks Regional Airport,Texas,United States,America/Chicago,29.95079994,-94.02069855
ZGBH,Beihai Fucheng Airport,,China,Asia/Shanghai,21.5394,109.293999
ZBAA,Beijing Capital International Airport,,China,Asia/Shanghai,40.08010101,116.58499908447266
ZBAD,Beijing Daxing International Airport,,China,Asia/Shanghai,39.50917,116.41056
OLBA,Beirut Rafic Hariri International Airport,,Lebanon,Asia/Beirut,33.820899963378906,35.488399505615234
SBBE,Val de Cans/Julio Cezar Ribeiro International Airport,,Brazil,America/Belem,-1.37925005,-48.47629929
EGAA,Belfast International Airport,,United Kingdom,Europe/London,54.65750122,-6.215829849
EGAC,George Best Belfast City Airport,,United Kingdom,Europe/London,54.61809921264648,-5.872499943
LYBE,Belgrade Nikola Tesla Airport,,Serbia,Europe/Belgrade,44.81840134,20.3090992
MZBZ,Philip S. W. Goldson International Airport,,Belize,America/Belize,17.539100646972656,-88.30819702
KBLI,Bellingham International Airport,Washington,United States,America/Los_Angeles,48.79280090332031,-122.538002
SBCF,Tancredo Neves International Airport,,Brazil,America/Sao_Paulo,-19.62444305,-43.9719429
KBJI,Bemidji Regional Airport,Minnesota,United States,America/Chicago,47.50939941,-94.93370056
HLLB,Benina International Airport,,Libya,Africa/Tripoli,32.096801757799994,20.26950073
KBEH,Southwest Michigan Regional Airport,Michigan,United States,America/Detroit,42.128601,-86.428497
LIME,Il Caravaggio International Airport,,Italy,Europe/Rome,45.673901,9.70417
ENBR,"Bergen Airport, Flesland",,Norway,Europe/Oslo,60.29339981,5.218140125
EDDB,Berlin Brandenburg Airport,,Germany,Europe/Berlin,52.38000107,13.52250004
KBML,Berlin Regional Airport,New Hampshire,United States,America/New_York,44.575401,-71.175903
EDDT,Berlin Tegel "Otto Lilienthal",Germany,Europe/Berlin,52.56047859485743,13.287863830688257
LSZB,Bern Airport,,Switzerland,Europe/Zurich,46.91410065,7.497149944309999
PABE,Bethel Airport,Alaska,United States,America/Anchorage,60.77980042,-161.8379974
LFMU,Beziers Vias airport,,France,Europe/Paris,43.32350158691406,3.353899955749512
WABB,Frans Kaisiepo Airport,,Indonesia,Asia/Jayapura,-1.190019965,136.10800170898438
LFBZ,Biarritz Pays Basque airport,,France,Europe/Paris,43.4683333,-1.5311111
PABM,Big Mountain Airport,Alaska,United States,America/Anchorage,59.36119843,-155.2590027
LEBB,Bilbao Airport,,Spain,Europe/Madrid,43.30110168457031,-2.910609961
KBIL,Billings Logan International Airport,Montana,United States,America/Denver,45.80770111083984,-108.5429993
EKBI,Billund Airport,,Denmark,Europe/Copenhagen,55.74029922,9.151780128
KBGM,Greater Binghamton/Edwin A Link field,New York,United States,America/New_York,42.20869827,-75.97979736
KBHM,Birmingham-Shuttlesworth International Airport,Alabama,United States,America/Chicago,33.56290054,-86.75350189
EGBB,Birmingham Airport,,United Kingdom,Europe/London,52.45389938,-1.748029947
OEBH,Bisha Airport,,Saudi Arabia,Asia/Riyadh,19.984399795532227,42.62089920043945
KBIS,Bismarck Municipal Airport,North Dakota,United States,America/Chicago,46.77270126342773,-100.7460022
FWCL,Chileka International Airport,,Malawi,Africa/Blantyre,-15.67910004,34.97399902
FABL,Bram Fischer International Airport,,South Africa,Africa/Johannesburg,-29.09269905,26.30240059
KBLH,Blythe Airport,California,United States,America/Los_Angeles,33.61920166,-114.7170029
ENBO,Bod Airport,,Norway,Europe/Oslo,67.26920318603516,14.365300178527832
KBFI,King County International Airport - Boeing Field,Washington,United States,America/Los_Angeles,47.52999877929688,-122.302002
SKBO,El Dorado International Airport,,Colombia,America/Bogota,4.70159,-74.1469
KBOI,Boise Air Terminal/Gowen Field,Idaho,United States,America/Denver,43.56439972,-116.2229996
LIPE,Bologna Guglielmo Marconi Airport,,Italy,Europe/Rome,44.5354,11.2887
TNCB,Flamingo International Airport,,Caribbean Netherlands,America/Curacao,12.130999565124512,-68.26850128
NGTA,Bonriki International Airport,,Kiribati,Pacific/Tarawa,1.3816399574279783,173.14700317382812
LFBD,BordeauxMerignac Airport,,France,Europe/Paris,44.82830048,-0.715556026
KBOS,Boston Logan International Airport,Massachusetts,United States,America/New_York,42.36429977,-71.00520325
KBZN,Bozeman Yellowstone International Airport,Montana,United States,America/Denver,45.77750015,-111.1529999
KBRD,Brainerd Lakes Regional Airport,Minnesota,United States,America/Chicago,46.39830017,-94.13809967
CYBR,Brandon Municipal Airport,Manitoba,Canada,America/Winnipeg,49.91,-99.951897
SBBR,Presidente Juscelino Kubitschek International Airport,,Brazil,America/Sao_Paulo,-15.86916733,-47.92083359
LZIB,M. R. Stefanik Airport,,Slovakia,Europe/Bratislava,48.17020034790039,17.21269989013672
FCBB,Maya-Maya International Airport,,Republic Of The Congo,Africa/Brazzaville,-4.251699924,15.253000259399414
EDDW,Bremen Airport,,Germany,Europe/Berlin,53.04750061,8.786669731
LFRB,Brest Bretagne airport,,France,Europe/Paris,48.447898864746094,-4.418540001
TBPB,Grantley Adams International Airport,,Barbados,America/Barbados,13.07460022,-59.49250031
LIBR,Brindisi Airport,,Italy,Europe/Rome,40.6576,17.947001
YBBN,Brisbane International Airport,Queensland,Australia,Australia/Brisbane,-27.38419914,153.11700439453125
KTRI,Tri-Cities Regional TN/VA Airport,Tennessee,United States,America/New_York,36.47520065307617,-82.40740204
EGGD,Bristol Airport,,United Kingdom,Europe/London,51.382702,-2.71909
KBKX,Brookings Regional Airport,South Dakota,United States,America/Chicago,44.304798,-96.816902
YBRM,Broome International Airport,Western Australia,Australia,Australia/Perth,-17.94470024,122.23200225830078
KBRO,Brownsville South Padre Island International Airport,Texas,United States,America/Chicago,25.90679931640625,-97.42590332
KBQK,Brunswick Golden Isles Airport,Georgia,United States,America/New_York,31.25880051,-81.46649933
EBBR,Brussels Airport,,Belgium,Europe/Brussels,50.90140152,4.48443985
LROP,Bucharest Henri Coanda International Airport,,Romania,Europe/Bucharest,44.5711111,26.085
LHBP,Budapest Liszt Ferenc International Airport,,Hungary,Europe/Budapest,47.43690109,19.25559998
SAEZ,Ezeiza International Airport - Ministro Pistarini,,Argentina,America/Buenos_Aires,-34.8222,-58.5358
SABE,Aeroparque Jorge Newbery,,Argentina,America/Buenos_Aires,-34.5592,-58.4156
KBUF,Buffalo Niagara International Airport,New York,United States,America/New_York,42.94049835,-78.73220062
HBBA,Bujumbura Melchior Ndadaye International Airport,,Burundi,Africa/Bujumbura,-3.324019909,29.318500518798828
VVBM,Buon Ma Thuot Airport,,Vietnam,Asia/Saigon,12.66829968,108.1200027
KBUR,Hollywood Burbank Airport,California,United States,America/Los_Angeles,34.20069885253906,-118.3590012
KBYI,Burley Municipal Airport,Idaho,United States,America/Boise,42.54259872,-113.7720032
KBTV,Patrick Leahy Burlington International Airport,Vermont,United States,America/New_York,44.47190094,-73.15329742
CYDB,Burwash Airport,Yukon,Canada,America/Vancouver,61.37110137939453,-139.0410004
KBTM,Bert Mooney Airport,Montana,United States,America/Denver,45.95479965209961,-112.4970016
LFRK,Caen Carpiquet airport,,France,Europe/Paris,49.173301696777344,-0.449999988
YBCS,Cairns International Airport,Queensland,Australia,Australia/Brisbane,-16.88579941,145.7550049
HECA,Cairo International Airport,,Egypt,Africa/Cairo,30.12190055847168,31.40559959411621
VECC,Netaji Subhash Chandra Bose International Airport,,India,Asia/Calcutta,22.654699325561523,88.44670104980469
CYYC,Calgary International Airport,Alberta,Canada,America/Edmonton,51.11389923,-114.0199966
SKCL,Alfonso Bonilla Aragon International Airport,,Colombia,America/Bogota,3.54322,-76.3816
LFKC,Calvi Sainte Catherine Airport,,France,Europe/Paris,42.5244444,8.7930556
MUCM,Ignacio Agramonte International Airport,,Cuba,America/Havana,21.420299530029297,-77.84750366
MMCP,Ingeniero Alberto Acuna Ongay International Airport,,Mexico,America/Mexico_City,19.816799163800003,-90.50029755
SBKG,Presidente Joao Suassuna Airport,,Brazil,America/Fortaleza,-7.269919872,-35.89640045
SBCG,Campo Grande Airport,,Brazil,America/Campo_Grande,-20.46870041,-54.67250061
YSCB,Canberra Airport,Australian Capital Territory,Australia,Australia/Sydney,-35.30690002,149.19500732421875
MMUN,Cancun International Airport,,Mexico,America/Cancun,21.036500930800003,-86.87709808
ZPCW,Cangyuan Washan Airport,,China,Asia/Shanghai,23.276331,99.373169
VVCT,Can Tho International Airport,,Vietnam,Asia/Saigon,10.08510017,105.711998
PCIS,Canton Island Airport,,Kiribati,Pacific/Enderbury,-2.76812005,-171.7100067
KCGI,Cape Girardeau Regional Airport,Missouri,United States,America/Chicago,37.22529983520508,-89.57080078
FACT,Cape Town International Airport,,South Africa,Africa/Johannesburg,-33.96480179,18.60169983
SVMI,Maiquetia Simon Bolivar International Airport,,Venezuela,America/Caracas,10.60311699,-66.99058533
SBCV,Caravelas Airport,,Brazil,America/Fortaleza,-17.65229988,-39.25310135
EGFF,Cardiff International Airport,,United Kingdom,Europe/London,51.39670181274414,-3.343329906
SKCG,Rafael Nunez International Airport,,Colombia,America/Bogota,10.4424,-75.513
GMMC,Casablanca,,Morocco,Africa/Casablanca,33.56667,-7.66667
GMMN,Mohammed V International Airport,,Morocco,Africa/Casablanca,33.36750030517578,-7.589970112
KCPR,Casper-Natrona County International Airport,Wyoming,United States,America/Denver,42.90800095,-106.4639969
PLCH,Cassidy International Airport,,Kiribati,Pacific/Kiritimati,1.9861600399017327,-157.3500061
LECH,Castellon-Costa Azahar Airport,,Spain,Europe/Madrid,40.9261,-1.2933
SANC,Coronel Felipe Varela International Airport,,Argentina,America/Catamarca,-28.59560013,-65.75170136
LICC,Catania-Fontanarossa Airport,,Italy,Europe/Rome,37.466801,15.0664
SOCA,Cayenne Felix Eboue Airport,,French Guiana,America/Cayenne,4.819809913639999,-52.36040115
RPVM,Mactan Cebu International Airport,,Philippines,Asia/Manila,10.30749989,123.9789963
KCDC,Cedar City Regional Airport,Utah,United States,America/Denver,37.70100021362305,-113.098999
KCID,The Eastern Iowa Airport,Iowa,United States,America/Chicago,41.88470077514648,-91.71080017
KCMI,University of Illinois Willard Airport,Illinois,United States,America/Chicago,40.03919983,-88.27809906
ZYCX,Changchun,,China,Asia/Shanghai,43.90667,125.1975
ZYCC,Changchun Longjia International Airport,,China,Asia/Shanghai,43.99620056,125.6849976
ZGHA,Changsha Huanghua International Airport,,China,Asia/Shanghai,28.18919945,113.2200012
ZSCG,Changzhou Benniu International Airport,,China,Asia/Shanghai,31.919701,119.778999
ZYCY,Chaoyang Airport,,China,Asia/Shanghai,41.538101,120.434998
SBCH,Serafin Enoss Bertaso Airport,,Brazil,America/Sao_Paulo,-27.13419914,-52.65660095
KCHS,Charleston International Airport,South Carolina,United States,America/New_York,32.89860153,-80.04049683
KCRW,Yeager Airport,West Virginia,United States,America/New_York,38.37310028076172,-81.59320068
YBCV,Charleville Airport,Queensland,Australia,Australia/Brisbane,-26.41329956,146.2619934
KCLT,Charlotte Douglas International Airport,North Carolina,United States,America/New_York,35.2140007,-80.94309998
KCHO,Charlottesville Albemarle Airport,Virginia,United States,America/New_York,38.13859939575195,-78.45290375
KCHA,Chattanooga Metropolitan Airport (Lovell Field),Tennessee,United States,America/New_York,35.035301208496094,-85.20379639
ZUUU,Chengdu Shuangliu International Airport,,China,Asia/Shanghai,30.578500747680664,103.9469985961914
VOMM,Chennai International Airport,,India,Asia/Calcutta,12.990005493164062,80.16929626464844
RKTU,Cheongju International Airport/Cheongju Air Base (K-59/G-513),,South Korea,Asia/Seoul,36.71659851,127.4990005
MMCM,Chetumal International Airport,,Mexico,America/Cancun,18.50469970703125,-88.32679749
KCYS,Cheyenne Regional Jerry Olson Field,Wyoming,United States,America/Denver,41.15570068,-104.8119965
VTCC,Chiang Mai International Airport,,Thailand,Asia/Bangkok,18.76679993,98.96260071
KMDW,Chicago Midway International Airport,Illinois,United States,America/Chicago,41.7859993,-87.75240326
KORD,Chicago O'Hare International Airport,Illinois,United States,America/Chicago,41.97859955,-87.90480042
KCIC,Chico Regional Airport,California,United States,America/Los_Angeles,39.79539871,-121.8580017
MMCU,General Roberto Fierro Villalobos International Airport,,Mexico,America/Mazatlan,28.702899932900003,-105.9649963
LUKK,Chisinau International Airport,,Moldova,Europe/Chisinau,46.92770004272461,28.93099975585937
RJCC,New Chitose Airport,,Japan,Asia/Tokyo,42.77519989013672,141.69200134277344
ZUCK,Chongqing Jiangbei International Airport,,China,Asia/Shanghai,29.719200134277344,106.64199829101562
VVCA,Chu Lai Airport,,Vietnam,Asia/Saigon,15.40330029,108.7060013
KCVG,Cincinnati Northern Kentucky International Airport,Kentucky,United States,America/New_York,39.04880142,-84.6678009
MMCE,Ciudad del Carmen International Airport,,Mexico,America/Mexico_City,18.65369987487793,-91.7990036
MMCS,Abraham Gonzalez International Airport,,Mexico,America/Mazatlan,31.63610076904297,-106.4290009
MMCN,Ciudad Obregon International Airport,,Mexico,America/Hermosillo,27.39259910583496,-109.8330002
KCKB,North Central West Virginia Airport,West Virginia,United States,America/New_York,39.29660034,-80.22810364
KCKV,ClarksvilleMontgomery County Regional Airport,Tennessee,United States,America/Chicago,36.62189865,-87.41500092
LFLC,Clermont-Ferrand Auvergne airport,,France,Europe/Paris,45.7867012,3.169169903
KCLE,Cleveland Hopkins International Airport,Ohio,United States,America/New_York,41.4117012,-81.84980011
YCCY,Cloncurry Airport,Queensland,Australia,Australia/Brisbane,-20.66860008,140.5039978
LRCL,Avram Iancu Cluj International Airport,,Romania,Europe/Bucharest,46.78519821166992,23.686199188232425
SWKO,Danilson Municipal Airport,,Brazil,America/Boa_Vista,-4.134059906,-63.13259888
SLCO,Capitan Anibal Arab Airport,,Bolivia,America/La_Paz,-11.04039955,-68.78299713
SLCB,Jorge Wilsterman International Airport,,Bolivia,America/La_Paz,-17.42110062,-66.17710114
PACD,Cold Bay Airport,Alaska,United States,America/Anchorage,55.20610046386719,-162.7250061
KCLL,Easterwood Field,Texas,United States,America/Chicago,30.58860016,-96.36380005
VCBI,Bandaranaike International Colombo Airport,,Sri Lanka,Asia/Colombo,7.180759906768799,79.88410186767578
KCOS,City of Colorado Springs Municipal Airport,Colorado,United States,America/Denver,38.80580139,-104.7009964
KCOU,Columbia Regional Airport,Missouri,United States,America/Chicago,38.81809997558594,-92.21959686
KCAE,Columbia Metropolitan Airport,South Carolina,United States,America/New_York,33.93880081176758,-81.11949921
KCSG,Columbus Airport,Georgia,United States,America/New_York,32.516300201416016,-84.93890381
KGTR,Golden Triangle Regional Airport,Mississippi,United States,America/Chicago,33.450298309299995,-88.59140015
KCMH,John Glenn Columbus International Airport,Ohio,United States,America/New_York,39.99800109863281,-82.89189911
SAVC,General Enrique Mosconi International Airport,,Argentina,America/Catamarca,-45.7853,-67.4655
CYQQ,Comox Valley International Airport / CFB Comox,British Columbia,Canada,America/Vancouver,49.71080017089844,-124.887001
GUCY,Ahmed Sekou Toure International Airport,,Guinea,Africa/Conakry,9.57689,-13.612
KCCR,Buchanan Field,California,United States,America/Los_Angeles,37.98970032,-122.0569992
KJQF,Concord-Padgett Regional Airport,North Carolina,United States,America/New_York,35.387798,-80.709099
KCON,Concord Municipal Airport,New Hampshire,United States,America/New_York,43.20270157,-71.50229645
VVCS,Con Dao Airport,,Vietnam,Asia/Saigon,8.731829643,106.6330032
DABC,Mohamed Boudiaf International Airport,,Algeria,Africa/Algiers,36.27600098,6.620389938354492
YBCG,Gold Coast Airport,Queensland,Australia,Australia/Brisbane,-28.1644001,153.5050049
EKCH,Copenhagen Kastrup Airport,,Denmark,Europe/Copenhagen,55.61790085,12.65600014
SACO,Ingeniero Aeronautico Ambrosio L.V. Taravella International Airport,,Argentina,America/Cordoba,-31.32360077,-64.20800018
PACV,Merle K (Mudhole) Smith Airport,Alaska,United States,America/Anchorage,60.4917984,-145.4779968
EICK,Cork International Airport,,Ireland,Europe/Dublin,51.84130096435547,-8.491109848
KCRP,Corpus Christi International Airport,Texas,United States,America/Chicago,27.77039909362793,-97.50119781
SARC,Corrientes Airport,,Argentina,America/Cordoba,-27.4455,-58.7619
KCVO,Corvallis Municipal Airport,Oregon,United States,America/Los_Angeles,44.49720001,-123.2900009
DBBB,Cotonou Cadjehoun International Airport,,Benin,Africa/Porto-Novo,6.357230186462402,2.384350061416626
MMCZ,Cozumel International Airport,,Mexico,America/Cancun,20.52239990234375,-86.92559814
LRCV,Craiova International Airport,,Romania,Europe/Bucharest,44.31809997558594,23.88859939575196
CYXC,Cranbrook/Canadian Rockies International Airport,British Columbia,Canada,America/Edmonton,49.6108017,-115.7819977
KCEC,Jack Mc Namara Field Airport,California,United States,America/Los_Angeles,41.78020096,-124.2369995
SBCY,Varzea GrandeMarechal Rondon International Airport,,Brazil,America/Campo_Grande,-15.65289974,-56.11669922
MMCL,Bachigualato Federal International Airport,,Mexico,America/Mazatlan,24.76449966,-107.4749985
SBCT,Curitiba-Afonso Pena International Airport,,Brazil,America/Sao_Paulo,-25.5284996,-49.17580032
SPZO,Alejandro Velasco Astete International Airport,,Peru,America/Lima,-13.53569984,-71.938797
KCTB,Cut Bank International Airport,Montana,United States,America/Denver,48.60839844,-112.3759995
RKTN,Daegu International Airport,,South Korea,Asia/Seoul,35.89410019,128.6589966
GOBD,Blaise Diagne International Airport,,Senegal,Africa/Dakar,14.67111,-17.06694
GOOY,Leopold Sedar Senghor International Airport,,Senegal,Africa/Dakar,14.739700317382812,-17.49020004
VVDL,Lien Khuong Airport,,Vietnam,Asia/Saigon,11.75,108.36699676513672
ZYTL,Dalian Zhoushuizi International Airport,,China,Asia/Shanghai,38.96569824,121.53900146484376
KDFW,Dallas Fort Worth International Airport,Texas,United States,America/Chicago,32.89680099487305,-97.03800201
KDAL,Dallas Love Field,Texas,United States,America/Chicago,32.84709930419922,-96.85179901
OSDI,Damascus International Airport,,Syria,Asia/Damascus,33.41149902,36.51559829711914
OEDF,King Fahd International Airport,,Saudi Arabia,Asia/Riyadh,26.471200942993164,49.79790115356445
VVDN,Da Nang International Airport,,Vietnam,Asia/Saigon,16.043899536132812,108.1989974975586
ZYDD,Dandong Langtou International Airport,,China,Asia/Shanghai,40.025453,124.28669
ZYDQ,Daqing Sartu Airport,,China,Asia/Shanghai,46.74639,125.13222
HTDA,Julius Nyerere International Airport,,Tanzania,Africa/Dar_es_Salaam,-6.878109932,39.20259857
YPDN,Darwin International Airport / RAAF Darwin,Northern Territory,Australia,Australia/Darwin,-12.41469955,130.8769989013672
ZBDT,Datong Yungang International Airport,,China,Asia/Shanghai,40.060299,113.482002
KDAB,Daytona Beach International Airport,Florida,United States,America/New_York,29.179899,-81.058098
KDAY,James M. Cox Dayton International Airport,Ohio,United States,America/New_York,39.90240097045898,-84.2193985
PASC,Deadhorse Airport,Alaska,United States,America/Anchorage,70.19470215,-148.4649963
CYDF,Deer Lake Airport,Newfoundland And Labrador,Canada,America/St_Johns,49.21080017089844,-57.39139938
VIDP,Indira Gandhi International Airport,,India,Asia/Calcutta,28.566499710083008,77.10310363769531
PABI,Allen Army Airfield,Alaska,United States,America/Anchorage,63.99449921,-145.7220001
KDTA,Delta Municipal Airport,Utah,United States,America/Denver,39.38059998,-112.5080032
KDEN,Denver International Airport,Colorado,United States,America/Denver,39.86169815,-104.6729965
KDSM,Des Moines International Airport,Iowa,United States,America/Chicago,41.53400039672852,-93.6631012
KDTW,Detroit Metropolitan Wayne County Airport,Michigan,United States,America/New_York,42.212398529052734,-83.35340118
KDVL,Devils Lake Regional Airport,North Dakota,United States,America/Chicago,48.11420059,-98.90879822
OEDR,King Abdulaziz Air Base,,Saudi Arabia,Asia/Riyadh,26.265399932900003,50.15200043
VGHS,Hazrat Shahjalal International Airport,,Bangladesh,Asia/Dhaka,23.84334,90.39778
PADL,Dillingham Airport,Alaska,United States,America/Anchorage,59.04470062,-158.5050049
DTTJ,Djerba Zarzis International Airport,,Tunisia,Africa/Tunis,33.875,10.775500297546388
HDAM,Djibouti-Ambouli Airport,,Djibouti,Africa/Djibouti,11.547300338745115,43.15950012207031
OTHH,Hamad International Airport,,Qatar,Asia/Qatar,25.2746,51.6084
EGCN,"Doncaster, Sheffield",,United Kingdom,Europe/London,53.48053781,-1.010656357
VVDH,Dong Hoi Airport,,Vietnam,Asia/Saigon,17.515,106.59056
ZSDY,Dongying Shengli Airport,,China,Asia/Shanghai,37.51028,118.78444
KDHN,Dothan Regional Airport,Alabama,United States,America/Chicago,31.32130051,-85.44960022
FKKD,Douala International Airport,,Cameroon,Africa/Douala,4.006080151,9.719479561
OMDW,Al Maktoum International Airport,,United Arab Emirates,Asia/Dubai,24.896356,55.161389
OMDB,Dubai International Airport,,United Arab Emirates,Asia/Dubai,25.25279999,55.36439896
LSMD,Dubendorf Air Base,,Switzerland,Europe/Zurich,47.39860153,8.648229599
EIDW,Dublin Airport,,Ireland,Europe/Dublin,53.42129898071289,-6.270070076
KDBQ,Dubuque Regional Airport,Iowa,United States,America/Chicago,42.40200043,-90.70950317
KDLH,Duluth International Airport,Minnesota,United States,America/Chicago,46.84209824,-92.19360352
ZLDH,Dunhuang Mogao International Airport,,China,Asia/Shanghai,40.16109848022461,94.80919647216795
KDRO,Durango La Plata County Airport,Colorado,United States,America/Denver,37.1515007,-107.7539978
MMDO,General Guadalupe Victoria International Airport,,Mexico,America/Mexico_City,24.12420082,-104.5279999
EDDL,Dusseldorf Airport,,Germany,Europe/Berlin,51.28950119018555,6.766779899597168
FMCZ,Dzaoudzi Pamandzi International Airport,,Mayotte,Indian/Mayotte,-12.8046999,45.28110122680664
PASY,Eareckson Air Station,Alaska,United States,America/Adak,52.71407,174.11691
KEAU,Chippewa Valley Regional Airport,Wisconsin,United States,America/Chicago,44.86579895019531,-91.48429871
EGPH,Edinburgh Airport,,United Kingdom,Europe/London,55.95000076293945,-3.372499943
CYEG,Edmonton International Airport,Alberta,Canada,America/Edmonton,53.30970001,-113.5800018
EHEH,Eindhoven Airport,,Netherlands,Europe/Amsterdam,51.45009995,5.374529839
SAWC,El Calafate - Commander Armando Tola International Airport,,Argentina,America/Argentina/Rio_Gallegos,-50.2803,-72.053101
HKEL,Eldoret International Airport,,Kenya,Africa/Nairobi,0.4044579863548279,35.23889923095703
KEKO,Elko Regional Airport,Nevada,United States,America/Los_Angeles,40.82490158081055,-115.7919998
KELM,Elmira Corning Regional Airport,New York,United States,America/New_York,42.15990067,-76.89160156
KELP,El Paso International Airport,Texas,United States,America/Denver,31.80719948,-106.3779984
KELY,Ely Airport Yelland Field,Nevada,United States,America/Los_Angeles,39.29970169,-114.8420029
YEML,Emerald Airport,Queensland,Australia,Australia/Brisbane,-23.56749916,148.1790009
ZHES,Enshi Xujiaping Airport,,China,Asia/Shanghai,30.32029915,109.4850006
HUEN,Entebbe International Airport,,Uganda,Africa/Kampala,0.042385999,32.44350051879883
KEPH,Ephrata Municipal Airport,Washington,United States,America/Los_Angeles,47.307598,-119.515999
KERI,Erie International Tom Ridge Field,Pennsylvania,United States,America/New_York,42.08312701,-80.17386675
KESC,Delta County Airport,Michigan,United States,America/New_York,45.72269821,-87.09369659
SAVE,Esquel Brigadier Antonio Parodi International Airport,,Argentina,America/Catamarca,-42.90800095,-71.13950348
EDLE,Essen-Mulheim Airport,,Germany,Europe/Berlin,51.40230178833008,6.9373297691345215
KEUG,Eugene Airport,Oregon,United States,America/Los_Angeles,44.12459945678711,-123.211998
KACV,California Redwood Coast-Humboldt County Airport,California,United States,America/Los_Angeles,40.97809982299805,-124.1090012
KEVV,Evansville Regional Airport,Indiana,United States,America/Chicago,38.03699875,-87.53240204
